U'/V, I/mA, dU/V, dI/mA
1.0, 97.9, 0.1, 2
2.5, 101.1, 0.1, 2
4.2, 104.9, 0.1, 2
6.0, 108.5, 0.1, 2
7.0, 110.5, 0.1, 2
8.0, 113.0, 0.1, 2
8.8, 115.2, 0.1, 2
