R_E/ohm, R_C/ohm, U_E/V_SS, U_B/V_SS
390, 390, 1.69, 1.76
150, 390, 1.39, 1.48
1000, 390, 1.87, 1.91
33000, 390, 1.92, 1.96
390, 150, 1.69, 1.76
390, 1000, 1.69, 1.76
390, 33000, 0.08, 0.13
