f/kHz, U_C/Vpp, U_B/Vpp
0.1, 1.91, 0.28
1.0, 1.84, 0.26
10, 1.84, 0.26
100, 1.82, 0.26
300, 1.72, 0.28
400, 0.88, 0.15
1000, 0.62, 0.12
3000, 0.4, 0.1
