f/kHz,U_C/Vpp,U_B/Vpp,dU/V,v,dv
1.0,1.79,0.26,0.01,6.88,0.27
10.0,1.86,0.26,0.01,7.15,0.28
100.0,1.84,0.28,0.01,6.57,0.24
1000.0,0.8,0.14,0.01,5.71,0.41
2000.0,0.6,0.12,0.01,5.0,0.42
2500.0,0.5,0.11,0.01,4.55,0.42
3000.0,0.5,0.11,0.01,4.55,0.42
