f/Hz, R/kOhm, dUout/Vpp, dUin/Vpp, dUout_err, dUin_err, v, v_err
1000, 100, 0.95, 0.013, 0.1, 0.003, 73.1, 13.6
1000, 33, 1.05, 0.013, 0.1, 0.003, 80.8, 14.1
