f/Hz, R/kOhm, dUout/Vpp, dUin/Vpp, dUout_err, dUin_err, v, v_err
1000, 100, 0.250, 0.062, 0.02, 0.003, 4.03, 0.38
1000, 33, 0.250, 0.062, 0.02, 0.003, 4.03, 0.38
