f/Hz, R/kOhm, dUout/Vpp, dUin/Vpp, U_err, v, v_err
1000, 100, 0.038, 0.013, 0.002, 2.92, 0.46
1000, 33, 0.042, 0.013, 0.002, 3.23, 0.51
