f/kHz, v, v_err
1000, 2, 0.05
2000, 2, 0.05
3000, 1.84, 0.05
3500, 1.66, 0.05
3800, 1.54, 0.05
4000, 1.44, 0.05
4200, 1.36, 0.05
4700, 1.16, 0.05
