f/kHz, v, v_err
0.8, 0.016, 0.002
1.3, 0.023, 0.002
2.0, 0.041, 0.003
3.0, 0.070, 0.005
4.5, 0.13, 0.01
5.0, 0.21, 0.01
5.5, 0.31, 0.01
6.0, 0.50, 0.02
6.1, 0.52, 0.02
6.2, 0.55, 0.02
6.5, 0.55, 0.02
7.0, 0.40, 0.02
8.0, 0.23, 0.01
10.0, 0.12, 0.01
15.0, 0.062, 0.005
22.0, 0.039, 0.002
30.0, 0.025, 0.005
