n,U_D/V,I_D/mA,U'/V,U_GS,I_Dsqrt,I_DsqrtErr
8,0.4,0.8,1.9296,1.8496,0.0282842712474619,0.0035355339059327377
9,0.95,1.9,2.1708,1.9808,0.04358898943540673,0.002294157338705618
10,1.7,3.4,2.412,2.072,0.058309518948453,0.0017149858514250885
11,2.6,5.2,2.6532,2.1332,0.07211102550927978,0.001386750490563073
12,3.5,7.0,2.8944,2.1944,0.08366600265340755,0.0011952286093343937
13,4.4,8.8,3.1356,2.2556000000000003,0.0938083151964686,0.0010660035817780522
